species_name,species_num,predicted_species_name,predicted_species_num,good_pred_probability,img_name,img_path
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99998844,2019-08-01 Luminy Hymenoptera 10 a 12 mm Apidae Amegilla 7.jpeg,BD_71/Amegilla quadrifasciata/2019-08-01 Luminy Hymenoptera 10 a 12 mm Apidae Amegilla 7.jpeg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9995396,Amegilla quadrifasciata10653.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata10653.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9998216,Amegilla quadrifasciata12804.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata12804.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9631657,Amegilla quadrifasciata14018.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata14018.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99998784,Amegilla quadrifasciata14246.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata14246.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9990404,Amegilla quadrifasciata15323.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata15323.jpeg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9998771,Amegilla quadrifasciata15848.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata15848.jpeg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,1.0,Amegilla quadrifasciata15914.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata15914.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9997837,Amegilla quadrifasciata163.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata163.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99983954,Amegilla quadrifasciata16365.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata16365.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99640286,Amegilla quadrifasciata16471.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata16471.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9994734,Amegilla quadrifasciata16815.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata16815.jpeg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,1.0,Amegilla quadrifasciata16837.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata16837.jpeg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99990916,Amegilla quadrifasciata17118.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata17118.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99996495,Amegilla quadrifasciata17345.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata17345.jpeg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999995,Amegilla quadrifasciata17470.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata17470.jpeg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99994946,Amegilla quadrifasciata17853.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata17853.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99502856,Amegilla quadrifasciata18033.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18033.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9993843,Amegilla quadrifasciata18055.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18055.jpeg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9970168,Amegilla quadrifasciata1810.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata1810.jpeg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99999106,Amegilla quadrifasciata18110.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18110.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99965215,Amegilla quadrifasciata18146.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18146.jpg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.999749,Amegilla quadrifasciata18207.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18207.jpeg
Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99898237,Amegilla quadrifasciata18486.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18486.jpg
