,species_name,species_num,predicted_species_name,predicted_species_num,good_pred_probability,img_name,img_path
0,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99128175,Amegilla quadrifasciata86032.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata86032.jpeg
1,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99999595,Amegilla quadrifasciata87348.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata87348.jpeg
2,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99971455,Amegilla quadrifasciata85769.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata85769.jpeg
3,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9988225,amegila_poss_1.4.jpg,BD_71/Amegilla quadrifasciata/amegila_poss_1.4.jpg
4,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99488515,Amegilla quadrifasciata88021.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata88021.jpg
5,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99992,Amegilla quadrifasciata85591.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata85591.jpg
6,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99999034,Amegilla quadrifasciata6448.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata6448.jpeg
7,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99640286,Amegilla quadrifasciata16471.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata16471.jpg
8,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9904806,Amegilla quadrifasciata84184.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata84184.jpeg
9,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9998771,Amegilla quadrifasciata15848.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata15848.jpeg
10,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99810505,Amegilla quadrifasciata51075.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata51075.jpeg
11,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99701154,Amegilla quadrifasciata51493.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata51493.jpg
12,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99986064,Amegilla quadrifasciata51323.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata51323.jpg
13,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99998164,amegilla.jpg,BD_71/Amegilla quadrifasciata/amegilla.jpg
14,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99666023,Amegilla quadrifasciata42371.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata42371.jpg
15,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999964,Amegilla quadrifasciata84110.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata84110.jpg
16,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9993861,Amegilla quadrifasciata89215.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata89215.jpg
17,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999497,Amegilla quadrifasciata48090.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata48090.jpeg
18,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9860482,Amegilla quadrifasciata51490.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata51490.jpg
19,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99996495,Amegilla quadrifasciata17345.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata17345.jpeg
20,Andrena agilissima,1.0,Andrena agilissima,1.0,0.99995255,Andrena agilissima3045.jpg,BD_71/Andrena agilissima/Andrena agilissima3045.jpg
