,species_name,species_num,predicted_species_name,predicted_species_num,good_pred_probability,img_name,img_path
0,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99998844,2019-08-01 Luminy Hymenoptera 10 a 12 mm Apidae Amegilla 7.jpeg,BD_71/Amegilla quadrifasciata/2019-08-01 Luminy Hymenoptera 10 a 12 mm Apidae Amegilla 7.jpeg
1,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9995396,Amegilla quadrifasciata10653.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata10653.jpg
2,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9631657,Amegilla quadrifasciata14018.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata14018.jpg
3,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99998784,Amegilla quadrifasciata14246.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata14246.jpg
4,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9990404,Amegilla quadrifasciata15323.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata15323.jpeg
5,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,1.0,Amegilla quadrifasciata15914.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata15914.jpg
6,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9997837,Amegilla quadrifasciata163.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata163.jpg
7,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99983954,Amegilla quadrifasciata16365.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata16365.jpg
8,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9994734,Amegilla quadrifasciata16815.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata16815.jpeg
9,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,1.0,Amegilla quadrifasciata16837.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata16837.jpeg
10,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99990916,Amegilla quadrifasciata17118.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata17118.jpg
11,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999995,Amegilla quadrifasciata17470.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata17470.jpeg
12,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99994946,Amegilla quadrifasciata17853.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata17853.jpg
13,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99502856,Amegilla quadrifasciata18033.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18033.jpg
14,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9993843,Amegilla quadrifasciata18055.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18055.jpeg
15,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99999106,Amegilla quadrifasciata18110.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18110.jpg
16,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99965215,Amegilla quadrifasciata18146.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18146.jpg
17,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.999749,Amegilla quadrifasciata18207.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18207.jpeg
18,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99898237,Amegilla quadrifasciata18486.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18486.jpg
19,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999273,Amegilla quadrifasciata18668.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18668.jpg
20,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999999,Amegilla quadrifasciata18756.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18756.jpg
21,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99999917,Amegilla quadrifasciata18811.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18811.jpg
22,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99932945,Amegilla quadrifasciata19150.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata19150.jpg
23,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9992262,Amegilla quadrifasciata19286.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata19286.jpg
24,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9997422,Amegilla quadrifasciata1945.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata1945.jpeg
25,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999645,Amegilla quadrifasciata1971.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata1971.jpeg
26,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9979469,Amegilla quadrifasciata19752.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata19752.jpg
27,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99998355,Amegilla quadrifasciata2193.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata2193.jpg
28,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999341,Amegilla quadrifasciata28150.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata28150.jpg
29,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9848045,Amegilla quadrifasciata2967.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata2967.jpg
30,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999684,Amegilla quadrifasciata34507.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata34507.jpg
31,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99905497,Amegilla quadrifasciata36738.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata36738.jpg
32,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999318,Amegilla quadrifasciata36967.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata36967.jpeg
33,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99988556,Amegilla quadrifasciata38423.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata38423.jpg
34,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999032,Amegilla quadrifasciata41449.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata41449.jpeg
35,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9869466,Amegilla quadrifasciata42447.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata42447.jpeg
36,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9782154,Amegilla quadrifasciata42674.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata42674.jpeg
37,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999716,Amegilla quadrifasciata43569.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata43569.jpeg
38,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999999,Amegilla quadrifasciata45344.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata45344.jpg
39,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99957234,Amegilla quadrifasciata45858.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata45858.jpeg
40,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99389666,Amegilla quadrifasciata46140.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata46140.jpeg
41,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999161,Amegilla quadrifasciata46731.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata46731.jpg
42,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99997365,Amegilla quadrifasciata46771.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata46771.jpg
43,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.994998,Amegilla quadrifasciata46980.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata46980.jpg
44,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99999905,Amegilla quadrifasciata47426.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata47426.jpeg
45,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9995049,Amegilla quadrifasciata48084.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata48084.jpg
46,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9997042,Amegilla quadrifasciata48421.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata48421.jpeg
