,species_name,species_num,predicted_species_name,predicted_species_num,good_pred_probability,img_name,img_path
0,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9998716,Amegilla quadrifasciata47830.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata47830.jpeg
1,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99918276,Amegilla quadrifasciata82865.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata82865.jpeg
2,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99999964,Amegilla quadrifasciata43109.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata43109.jpg
3,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.97074497,Amegilla quadrifasciata18600.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata18600.jpg
4,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9994661,amegilla_quadrif (1).jpg,BD_71/Amegilla quadrifasciata/amegilla_quadrif (1).jpg
5,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9998216,Amegilla quadrifasciata12804.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata12804.jpg
6,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99965143,Amegilla quadrifasciata80898.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata80898.jpeg
7,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,1.0,Amegilla quadrifasciata90739.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata90739.jpeg
8,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999908,Amegilla quadrifasciata88084.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata88084.jpg
9,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99972945,Amegilla quadrifasciata80258.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata80258.jpeg
10,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9999995,amegilla_1.jpg,BD_71/Amegilla quadrifasciata/amegilla_1.jpg
11,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9824379,Amegilla quadrifasciata51301.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata51301.jpg
12,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9993413,Amegilla quadrifasciata44483.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata44483.jpeg
13,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9970168,Amegilla quadrifasciata1810.jpeg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata1810.jpeg
14,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.9998148,Amegilla quadrifasciata43630.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata43630.jpg
15,Amegilla quadrifasciata,0.0,Amegilla quadrifasciata,0.0,0.99999297,Amegilla quadrifasciata50210.jpg,BD_71/Amegilla quadrifasciata/Amegilla quadrifasciata50210.jpg
